run,trial_index,face,emotion
1,1,WSB,S
1,2,WNB,N
1,3,MNB,N
1,4,MFB,F
1,5,WSB,S
1,6,WAA,A
1,7,WFA,F
1,8,WFB,F
1,9,MSB,S
1,10,MFA,F
1,11,WAB,A
1,12,WFA,F
1,13,MSA,S
1,14,MHA,H
1,15,WAA,A
1,16,WHA,H
1,17,MAA,A
1,18,MAB,A
1,19,WHB,H
1,20,MNB,N
1,21,WHB,H
1,22,MAB,A
1,23,MHB,H
1,24,WSA,S
1,25,WNA,N
1,26,MHA,H
1,27,MSA,S
1,28,WFB,F
1,29,MSB,S
1,30,MFB,F
1,31,WNA,N
1,32,WSA,S
1,33,MHB,H
1,34,WAB,A
1,35,WNB,N
1,36,MNA,N
1,37,MFA,F
1,38,MAA,A
1,39,WHA,H
1,40,MNA,N
1,41,MHA,H
1,42,MAA,A
1,43,WSA,S
1,44,MNA,N
1,45,WNA,N
1,46,WHB,H
1,47,WNB,N
1,48,MSB,S
1,49,MAB,A
1,50,WSB,S
1,51,MNB,N
1,52,WSB,S
1,53,MSA,S
1,54,WAA,A
1,55,MNA,N
1,56,MFA,F
1,57,WAA,A
1,58,MSA,S
1,59,MAB,A
1,60,WAB,A
1,61,MFB,F
1,62,MHB,H
1,63,MNB,N
1,64,WFB,F
1,65,WSA,S
1,66,WFB,F
1,67,WNA,N
1,68,MAA,A
1,69,MSB,S
1,70,WHA,H
1,71,MFA,F
1,72,WHB,H
1,73,WFA,F
1,74,MFB,F
1,75,WFA,F
1,76,WHA,H
1,77,WNB,N
1,78,WAB,A
1,79,MHB,H
1,80,MHA,H
1,81,MSB,S
1,82,WSA,S
1,83,MSB,S
1,84,WNA,N
1,85,WSB,S
1,86,MHB,H
1,87,WSB,S
1,88,MNB,N
1,89,MNA,N
1,90,WHB,H
1,91,WSA,S
1,92,WAA,A
1,93,MFA,F
1,94,WHB,H
1,95,MNB,N
1,96,MSA,S
1,97,WHA,H
1,98,MAA,A
1,99,MFA,F
1,100,MAA,A
1,101,WFA,F
1,102,MSA,S
1,103,WAA,A
1,104,MHA,H
1,105,WNB,N
1,106,WHA,H
1,107,MAB,A
1,108,WAB,A
1,109,MFB,F
1,110,WNA,N
1,111,MAB,A
1,112,WFB,F
1,113,MNA,N
1,114,WFA,F
1,115,WAB,A
1,116,WNB,N
1,117,MFB,F
1,118,MHA,H
1,119,MHB,H
1,120,WFB,F
1,121,MSB,S
1,122,WAB,A
1,123,WSA,S
1,124,MSA,S
1,125,WNA,N
1,126,WNB,N
1,127,MNA,N
1,128,WFA,F
1,129,WNB,N
1,130,MFA,F
1,131,MHB,H
1,132,MHA,H
1,133,MSB,S
1,134,WAB,A
1,135,WFA,F
1,136,MAB,A
1,137,MHA,H
1,138,WHB,H
1,139,MAA,A
1,140,MAB,A
1,141,MNB,N
1,142,WAA,A
1,143,MFB,F
1,144,WNA,N
1,145,WFB,F
1,146,MAA,A
1,147,MFA,F
1,148,WSB,S
1,149,MNA,N
1,150,WHA,H
1,151,MHB,H
1,152,WAA,A
1,153,WSB,S
1,154,MSA,S
1,155,WHA,H
1,156,WFB,F
1,157,WSA,S
1,158,MFB,F
1,159,WHB,H
1,160,MNB,N
1,161,MHB,H
1,162,MHA,H
1,163,WSB,S
1,164,WFB,F
1,165,MAA,A
1,166,WNA,N
1,167,MFA,F
1,168,MHB,H
1,169,MHA,H
1,170,WSB,S
1,171,WFA,F
1,172,MAA,A
1,173,WHB,H
1,174,WAA,A
1,175,MNB,N
1,176,MFA,F
1,177,MSA,S
1,178,WNB,N
1,179,MAB,A
1,180,WNB,N
1,181,WHA,H
1,182,WAB,A
1,183,WNA,N
1,184,MAB,A
1,185,MSA,S
1,186,WAA,A
1,187,MNA,N
1,188,MFB,F
1,189,WHA,H
1,190,WSA,S
1,191,MSB,S
1,192,WSA,S
1,193,MFB,F
1,194,MNB,N
1,195,WHB,H
1,196,MSB,S
1,197,WAB,A
1,198,WFA,F
1,199,WFB,F
1,200,MNA,N
