run,trial_index,face,emotion
2,1,MSA,S
2,2,WNB,N
2,3,MAB,A
2,4,WAA,A
2,5,WHA,H
2,6,WAB,A
2,7,MNB,N
2,8,WHA,H
2,9,WFA,F
2,10,MSA,S
2,11,MFB,F
2,12,MHA,H
2,13,WSA,S
2,14,MNA,N
2,15,WAB,A
2,16,MSB,S
2,17,WAA,A
2,18,MFA,F
2,19,WNA,N
2,20,MHA,H
2,21,MNB,N
2,22,MFA,F
2,23,WHB,H
2,24,WSB,S
2,25,MAA,A
2,26,WNB,N
2,27,WFA,F
2,28,MNA,N
2,29,WNA,N
2,30,MFB,F
2,31,WHB,H
2,32,MHB,H
2,33,WFB,F
2,34,MAB,A
2,35,WSB,S
2,36,WSA,S
2,37,MHB,H
2,38,WFB,F
2,39,MAA,A
2,40,MSB,S
2,41,WNA,N
2,42,WHA,H
2,43,MFA,F
2,44,MAB,A
2,45,MHB,H
2,46,MFB,F
2,47,WNB,N
2,48,WFB,F
2,49,MSA,S
2,50,MNA,N
2,51,WSA,S
2,52,WNA,N
2,53,WFA,F
2,54,MNB,N
2,55,WAB,A
2,56,MSB,S
2,57,MHA,H
2,58,MSA,S
2,59,WSB,S
2,60,WHB,H
2,61,MAA,A
2,62,WFB,F
2,63,WFA,F
2,64,MNB,N
2,65,MAA,A
2,66,WNB,N
2,67,WSB,S
2,68,MNA,N
2,69,MSB,S
2,70,WAA,A
2,71,MHB,H
2,72,WHA,H
2,73,MHA,H
2,74,WAA,A
2,75,WHB,H
2,76,MFB,F
2,77,MFA,F
2,78,MAB,A
2,79,WSA,S
2,80,WAB,A
2,81,MSB,S
2,82,WAA,A
2,83,WFB,F
2,84,MNB,N
2,85,MSA,S
2,86,MAB,A
2,87,WNA,N
2,88,WSB,S
2,89,MNA,N
2,90,WNA,N
2,91,WFA,F
2,92,MHA,H
2,93,WAB,A
2,94,MAB,A
2,95,WNB,N
2,96,MFB,F
2,97,MHB,H
2,98,WAA,A
2,99,MHB,H
2,100,WHA,H
2,101,MNA,N
2,102,WSB,S
2,103,WHB,H
2,104,MHA,H
2,105,MFB,F
2,106,MSA,S
2,107,WAB,A
2,108,MNB,N
2,109,MFA,F
2,110,WSA,S
2,111,WHB,H
2,112,MFA,F
2,113,WSA,S
2,114,WFA,F
2,115,MAA,A
2,116,WFB,F
2,117,MSB,S
2,118,WNB,N
2,119,WHA,H
2,120,MAA,A
2,121,WHA,H
2,122,MSB,S
2,123,MSA,S
2,124,WNB,N
2,125,WAA,A
2,126,WNA,N
2,127,MNB,N
2,128,WHA,H
2,129,WAA,A
2,130,MHA,H
2,131,MHB,H
2,132,WFB,F
2,133,MFB,F
2,134,MHA,H
2,135,WFA,F
2,136,WAB,A
2,137,MFA,F
2,138,MHB,H
2,139,WHB,H
2,140,WNA,N
2,141,MAB,A
2,142,WFB,F
2,143,WHB,H
2,144,MSA,S
2,145,WNB,N
2,146,WSB,S
2,147,WFA,F
2,148,MFA,F
2,149,WAB,A
2,150,WSA,S
2,151,MNA,N
2,152,MSB,S
2,153,MAB,A
2,154,WSA,S
2,155,MFB,F
2,156,MAA,A
2,157,WSB,S
2,158,MNA,N
2,159,MAA,A
2,160,MNB,N
2,161,WFA,F
2,162,WSB,S
2,163,MHA,H
2,164,WHB,H
2,165,WSB,S
2,166,MNB,N
2,167,WFA,F
2,168,MFB,F
2,169,WAB,A
2,170,MFB,F
2,171,WNA,N
2,172,MNA,N
2,173,WNA,N
2,174,WHA,H
2,175,MAA,A
2,176,MAB,A
2,177,MHB,H
2,178,WSA,S
2,179,MSA,S
2,180,WSA,S
2,181,WFB,F
2,182,MNA,N
2,183,MSB,S
2,184,MAA,A
2,185,WNB,N
2,186,WAA,A
2,187,MHA,H
2,188,MFA,F
2,189,WHA,H
2,190,WHB,H
2,191,WNB,N
2,192,MFA,F
2,193,WAA,A
2,194,MSB,S
2,195,MSA,S
2,196,MHB,H
2,197,WFB,F
2,198,MNB,N
2,199,MAB,A
2,200,WAB,A
